# LUMINA-SN GPU Spectrum (Escaped Packets)
# n_packets=20000000, n_emitted=3989129
wavelength_A,flux
8806.50,3.850000e+02
8813.50,4.330000e+02
8820.50,4.080000e+02
8827.50,4.140000e+02
8834.50,4.040000e+02
8841.50,4.190000e+02
8848.50,4.470000e+02
8855.50,4.260000e+02
8862.50,4.120000e+02
8869.50,3.920000e+02
8876.50,4.010000e+02
8883.50,4.110000e+02
8890.50,4.070000e+02
8897.50,4.220000e+02
8904.50,3.990000e+02
8911.50,3.970000e+02
8918.50,3.730000e+02
8925.50,3.980000e+02
8932.50,4.050000e+02
8939.50,4.090000e+02
8946.50,4.110000e+02
8953.50,3.600000e+02
8960.50,4.170000e+02
8967.50,3.850000e+02
8974.50,3.980000e+02
8981.50,3.970000e+02
8988.50,3.870000e+02
8995.50,4.190000e+02
9002.50,3.700000e+02
9009.50,3.770000e+02
9016.50,3.920000e+02
9023.50,3.870000e+02
9030.50,3.950000e+02
9037.50,3.640000e+02
9044.50,4.070000e+02
9051.50,3.830000e+02
9058.50,3.760000e+02
9065.50,3.990000e+02
9072.50,3.720000e+02
9079.50,3.820000e+02
9086.50,3.730000e+02
9093.50,3.740000e+02
9100.50,4.060000e+02
9107.50,3.500000e+02
9114.50,3.730000e+02
9121.50,3.810000e+02
9128.50,3.990000e+02
9135.50,3.800000e+02
9142.50,3.920000e+02
9149.50,3.770000e+02
9156.50,3.520000e+02
9163.50,3.650000e+02
9170.50,3.580000e+02
9177.50,3.600000e+02
9184.50,3.610000e+02
9191.50,3.610000e+02
9198.50,3.620000e+02
9205.50,3.520000e+02
9212.50,3.610000e+02
9219.50,3.420000e+02
9226.50,3.210000e+02
9233.50,3.300000e+02
9240.50,3.410000e+02
9247.50,3.730000e+02
9254.50,3.340000e+02
9261.50,3.570000e+02
9268.50,3.790000e+02
9275.50,3.390000e+02
9282.50,3.700000e+02
9289.50,3.330000e+02
9296.50,3.530000e+02
9303.50,3.720000e+02
9310.50,3.560000e+02
9317.50,3.650000e+02
9324.50,3.660000e+02
9331.50,3.220000e+02
9338.50,3.620000e+02
9345.50,3.500000e+02
9352.50,3.110000e+02
9359.50,3.230000e+02
9366.50,3.660000e+02
9373.50,3.300000e+02
9380.50,3.600000e+02
9387.50,3.370000e+02
9394.50,3.510000e+02
9401.50,3.320000e+02
9408.50,3.230000e+02
9415.50,3.220000e+02
9422.50,3.470000e+02
9429.50,3.380000e+02
9436.50,3.480000e+02
9443.50,3.130000e+02
9450.50,3.450000e+02
9457.50,3.490000e+02
9464.50,3.350000e+02
9471.50,2.900000e+02
9478.50,3.250000e+02
9485.50,3.300000e+02
9492.50,3.130000e+02
9499.50,3.430000e+02
9506.50,3.060000e+02
9513.50,3.140000e+02
9520.50,3.460000e+02
9527.50,3.100000e+02
9534.50,3.040000e+02
9541.50,3.290000e+02
9548.50,2.890000e+02
9555.50,3.160000e+02
9562.50,3.100000e+02
9569.50,3.100000e+02
9576.50,3.400000e+02
9583.50,3.090000e+02
9590.50,3.180000e+02
9597.50,3.130000e+02
9604.50,3.390000e+02
9611.50,3.090000e+02
9618.50,2.980000e+02
9625.50,3.360000e+02
9632.50,3.040000e+02
9639.50,3.320000e+02
9646.50,3.440000e+02
9653.50,3.120000e+02
9660.50,3.150000e+02
9667.50,2.930000e+02
9674.50,3.440000e+02
9681.50,3.020000e+02
9688.50,2.750000e+02
9695.50,2.810000e+02
9702.50,3.210000e+02
9709.50,3.030000e+02
9716.50,3.150000e+02
9723.50,2.930000e+02
9730.50,3.040000e+02
9737.50,2.910000e+02
9744.50,2.900000e+02
9751.50,2.940000e+02
9758.50,2.920000e+02
9765.50,2.830000e+02
9772.50,2.770000e+02
9779.50,3.070000e+02
9786.50,3.090000e+02
9793.50,2.680000e+02
9800.50,2.950000e+02
9807.50,2.760000e+02
9814.50,2.750000e+02
9821.50,2.880000e+02
9828.50,2.760000e+02
9835.50,2.640000e+02
9842.50,2.880000e+02
9849.50,2.780000e+02
9856.50,2.850000e+02
9863.50,3.120000e+02
9870.50,2.800000e+02
9877.50,2.800000e+02
9884.50,2.800000e+02
9891.50,2.850000e+02
9898.50,3.050000e+02
9905.50,2.820000e+02
9912.50,2.800000e+02
9919.50,2.780000e+02
9926.50,2.800000e+02
9933.50,2.860000e+02
9940.50,2.760000e+02
9947.50,2.940000e+02
9954.50,2.680000e+02
9961.50,2.640000e+02
9968.50,2.560000e+02
9975.50,2.610000e+02
9982.50,2.590000e+02
9989.50,2.590000e+02
9996.50,2.580000e+02
